id_tmdb,title,overview,genres,director,cast,keywords,release_date,popularity,vote_average,vote_count,poster_path
1376434,Predador: Assassino de Assassinos,"Essa antologia animada original acompanha três dos guerreiros mais determinados da história da humanidade: uma pirata viking que guia o filho em uma busca sangrenta por vingança, um ninja no Japão feudal que se volta contra o irmão samurai em uma batalha brutal pela sucessão e um piloto da Segunda Guerra Mundial que voa para investigar uma ameaça sobrenatural à causa aliada.","Animação, Ação, Ficção científica",Dan Trachtenberg,"Lindsay LaVanchy, Louis Ozawa, Rick Gonzalez","world war ii, pilot, vikings (norsemen), anthology, ninja, feudal japan, baffled",2025-06-05,828.6669,7.988,378,/xz02mXRmFclUQhNnkXpwYHE6mVL.jpg
870028,O Contador 2,"Quando um conhecido é assassinado, deixando para trás uma mensagem enigmática, Christian Wolff se sente compelido a resolver o caso. Percebendo que medidas extremas são necessárias, Wolff recruta seu irmão distante e altamente letal, Brax, e os dois descobrem uma conspiração mortal, tornando-se alvos de uma rede de assassinos.","Mistério, Crime, Thriller",Gavin O'Connor,"Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson","hitman, autism, sequel, conspiracy, whodunit, aggressive, mysterious death, brother brother relationship, assertive",2025-04-23,653.8968,7.209,648,/9PeHTmjKQJWX51md4pR4OYmQJ4r.jpg
552524,Lilo & Stitch,"Stitch, um alienígena, chega ao planeta Terra após fugir de sua prisão e tenta se passar por um cachorro para se camuflar. As coisas mudam quando Lilo, uma travessa menina, o adota de um abrigo de animais. Juntos, eles aprendem os valores da amizade e família.","Família, Comédia, Ficção científica, Aventura",Dean Fleischer Camp,"Maia Kealoha, Sydney Agudong, Chris Sanders","hawaii, bullying, dysfunctional family, loss of job, shape shifting alien, family, burlesque, evil alien, orphan siblings, extraterrestrial animal, live action remake, alien spaceship, animal human friendship, advanced technology, depressing, disheartening",2025-05-17,479.4541,7.116,593,/toLU4HzWf2iKqPbElKPDypKNGTr.jpg
1315988,Mikaela,"Quando uma nevasca bloqueia uma estrada, uma gangue de ladrões aproveita para roubar um carro-forte, estragando a noite de um policial que só queria chegar em casa.","Ação, Thriller",Daniel Calparsoro,"Antonio Resines, Natalia Azahara, Roger Casamajor","snowstorm, cop, traffic jam, heist, disaster",2025-01-31,454.6217,6.19,42,/u6wH4qL0Hi611QoChzFXm7KoHYY.jpg
1426776,Até a Última Gota,"Até onde ela vai aguentar? Após um dia devastador, uma mãe solo dedicada chega ao seu limite e comete um ato de desespero que ninguém poderia prever.","Thriller, Drama",Tyler Perry,"Taraji P. Henson, Sherri Shepherd, Teyana Taylor","angry, earnest, straw",2025-06-05,425.4784,8.445,227,/t3nmSPWX5MOKdpAuTb2t5g69BT3.jpg
1450599,K.O.,"Um ex-lutador precisa encontrar o filho desaparecido de um adversário que matou acidentalmente há vários anos. Para isso, ele vai ter que encarar uma gangue violenta.","Ação, Drama, Aventura",Antoine Blossier,"Ciryl Gane, Alice Belaïdi, Maleaume Paquin",,2025-06-05,399.3813,6.805,77,/o0brhd2qdfFL3o7VxFDsUfUSaML.jpg
1233413,Pecadores,"Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à sua cidade natal para recomeçar suas vidas do zero, quando descobrem que um mal ainda maior está à espera deles para recebê-los de volta.","Terror, Thriller",Ryan Coogler,"Michael B. Jordan, Hailee Steinfeld, Miles Caton","chicago, illinois, capitalism, ku klux klan, musician, immortality, vampire, grave, surrealism, sin, alcoholism, vampire hunter (slayer), church, twins, estranged wife, mourning, dual role, cousin relationship, death of daughter, taunting, blues music, aftercreditsstinger, speculative, klansmen, disturbed, shocking, angry, hopeless, vexed, grim, 1990s, 1930s, salvation, assimilation, chinese immigrant, desperate, brother brother relationship, southern gothic, afro-descendants, cousins, supernatural horror, train station, cautionary, juke joint, provocative, mississippi, egotistical, assertive, complicated, defiant, distressing, enraged, forceful, foreboding, frightened, harsh, horrified, indifferent, mocking",2025-04-16,389.3997,7.545,1365,/a9kYEboW1TQaeilGYUAx1MO0DUp.jpg
1087891,Operação Vingança,"Depois que sua esposa é tragicamente morta em um ataque terrorista em Londres, um criptógrafo da CIA exige que seus chefes vão atrás dos assassinos. Quando fica claro que eles não agirão devido a prioridades internas conflitantes, ele chantageia a agência para treiná-lo e deixá-lo ir atrás deles sozinho.","Thriller, Ação",James Hawes,"Rami Malek, Holt McCallany, Danny Sapani","central intelligence agency (cia), based on novel or book, escape, blackmail, revenge, agent, government assassin, government cover-up, government conspiracy, death of wife, spy thriller, computer hacker, terrorist",2025-04-09,288.9573,6.771,350,/bAQAGxxqwK8bcqEYLEo6cN7UNn6.jpg
950387,Um Filme Minecraft,"Quatro desajustados enfrentam problemas comuns do dia a dia quando, de repente, são sugados por um portal misterioso para o Overworld: uma terra fascinante e cúbica, movida pela imaginação. Para voltarem para casa, eles precisarão dominar esse novo mundo enquanto embarcam em uma jornada mágica ao lado de um crafter experiente e inesperado: Steve.","Família, Comédia, Aventura, Fantasia",Jared Hess,"Jason Momoa, Jack Black, Sebastian Eugene Hansen","friendship, surrealism, exploration, portal, miner, friends, survival, zombie, based on video game, aftercreditsstinger, duringcreditsstinger, journey, live action and animation, playful, imagination, teamwork, fantasy, building",2025-03-31,233.2535,6.507,1753,/4VtkIaj76TpQNfhDHXQDdT9uBN5.jpg
574475,Premonição 6: Laços de Sangue,"Atormentada por um pesadelo violento recorrente, a estudante universitária Stefanie volta para casa para encontrar a única pessoa que pode quebrar o ciclo e salvar sua família do destino horrível que inevitavelmente os aguarda.","Terror, Mistério",Adam B. Stein,"Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt","restaurant, gore, sequel, premonition, fate, death, near-death experience, 1960s, cheating death, supernatural horror, horror, bold, teen scream",2025-05-14,231.933,6.981,631,/niTRdfNCT29PXU9YpPPuISrBIw7.jpg
